	iptm	ptm	mean_plddt	mean_pdockq2	mean_plddt_lst	replicate	subunits	phrog
0	0.11	0.41	84.71158653846153	0.009195072418621383	0.11028201322398137	rep_3	2	phrog_10004
0	0.13	0.32	82.96124999999999	0.009016406544551813	0.11327425129573498	rep_1	3	phrog_10004
0	0.12	0.32	84.25066239316239	0.00923863727901818	0.11092907914232646	rep_2	3	phrog_10004
0	0.12	0.32	82.46331196581197	0.008990494689924208	0.10875245100655977	rep_3	3	phrog_10004
0	0.15	0.29	80.23172275641026	0.009173505824758928	0.10857640147554484	rep_1	4	phrog_10004
0	0.14	0.29	81.64171474358974	0.008910705581386472	0.10707235651070766	rep_2	4	phrog_10004
0	0.14	0.29	80.46116185897436	0.008889872511797469	0.1052186932083671	rep_3	4	phrog_10004
0	0.17	0.28	79.60985897435897	0.008973278070558657	0.1145273529966964	rep_1	5	phrog_10004
0	0.17	0.28	76.39508333333333	0.009005082218566102	0.10626567534494398	rep_2	5	phrog_10004
0	0.16	0.28	78.60011538461538	0.008948894964722103	0.10687103218659781	rep_3	5	phrog_10004
0	0.19	0.28	78.45922008547011	0.009028984367525333	0.119525558177469	rep_1	6	phrog_10004
0	0.19	0.27	74.43759615384614	0.008976170486868098	0.11045050987651206	rep_2	6	phrog_10004
0	0.18	0.27	75.2569391025641	0.00882763601779419	0.09770221486905516	rep_3	6	phrog_10004
0	0.21	0.27	71.16532051282051	0.008936358776245336	0.11101805479254233	rep_1	7	phrog_10004
0	0.19	0.27	76.38705586080587	0.00891598259698033	0.10641342739408466	rep_2	7	phrog_10004
0	0.19	0.27	72.26789377289379	0.008726761670909315	0.10354442310965187	rep_3	7	phrog_10004
0	0.21	0.27	69.25285657051282	0.00891477581377423	0.11229385851839896	rep_1	8	phrog_10004
0	0.21	0.27	72.3347155448718	0.00889452873764307	0.10001949768242129	rep_2	8	phrog_10004
0	0.21	0.27	69.50881810897437	0.008675939144066093	0.10354816497597363	rep_3	8	phrog_10004
0	0.22	0.28	69.93177706552706	0.008726979966300535	0.11334191004386457	rep_1	9	phrog_10004
0	0.22	0.27	65.60433404558404	0.008655808661227022	0.10504269534236345	rep_2	9	phrog_10004
